name,gp,start,w,svs,ga,so,a1,a2,ps_sv
Lovisa Selander,3,3,2,80,8,,,,
Katie Burt,4,4,3,122,6,1,,,
Victoria Hanson,1,1,1,25,1,,,,
Carly Jackson,3,3,1,95,11,,,,
Caty Flagg,,,,,,,,,
Lovisa Berndtsson,,,,,,,,,
Elaine Chuli,3,3,3,68,6,,,,
Samantha Ridgewell,2,2,,57,6,,,,
Tera Hofmann,1,,,17,3,,,,
Sonjia Shelly,3,3,1,74,11,,,,
Abbie Ives,7,7,3,151,19,,,,
Amanda Leveille,6,6,1,208,17,1,,,
Jenna Brenneman,,,,,,,,,
Mariah Fujimagari,1,1,1,22,5,,,,
Brooke Wolejko,2,1,1,29,3,,,,
Jessica Strack,1,,,5,0,,,,