name,sog,g,a1,a2,pim,pend,bks,hattys
Abby Cook,,0,0,1,,,,
Amanda Boulier,,0,2,1,,,,
Christina Putigna,,2,1,0,,,,
Evelina Raselli,,1,0,0,,,,
Jenna Rheault,,0,0,0,,,,
Jillian Dempsey,,1,2,0,,,,
Kaleigh Fratkin,,0,1,1,,,,
Katelynn Russ,,0,1,0,,,,
Kayla Friesen,,2,1,0,,,,
Lauren Kelly,,0,0,1,,,,
Mallory Souliotis,,0,0,2,,,,
McKenna Brand,,2,0,2,,,,
Meghara McManus,,2,0,1,,,,
Paige Capistran,,0,0,1,,,,
Sammy Davis,,0,2,1,,,,
Taylor Wenczkowski,,2,0,0,,,,
Tori Sullivan,,0,1,0,,,,
Allison Attea,,0,0,0,,,,
Amy Budde,,0,0,0,,,,
Anjelica Diffendal,,0,0,0,,,,
Autumn MacDougall,,1,0,0,,,,
Brittany Colton,,0,0,0,,,,
Cassidy MacPherson,,0,1,0,,,,
Cassidy Vinkle,,0,2,0,,,,
Dominique Kremer,,0,0,0,,,,
Elena Orlando,,0,0,0,,,,
Emilie Harley,,0,0,0,,,,
Emma Keenan,,0,0,1,,,,
Erin Gehen,,0,0,0,,,,
Grace Klienbach,,0,0,0,,,,
Jenna Suokko,,0,0,1,,,,
Kennedy Ganser,,0,0,0,,,,
Marie-Jo Pelletier,,0,0,0,,,,
Missy Segall,,1,0,0,,,,
Samantha Fieseler,,0,0,0,,,,
Taylor Accursi,,1,0,0,,,,
Taylor Wasylk,,0,0,0,,,,
Allie Munroe,,0,0,1,,,,
Alyssa Wohfeiler,,4,1,0,,,,
Amanda Conway,,1,1,1,,,,
Cailey Hutchison,,0,1,1,,,,
Catherine Crawley,,0,1,1,,,,
Emily Fluke,,2,1,0,,,,
Emma Polaski,,0,0,0,,,,
Kati Tabin,,0,0,0,,,,
Emma Vlasic,,2,3,0,,,,
Hanna Beattie,,0,0,0,,,,
Hannah Bates,,0,0,1,,,,
Janine Weber,,0,0,0,,,,
Janka Hlinka,,0,0,0,,,,
Kaycie Anderson,,0,0,0,,,,
Kennedy Marchment,,2,2,1,,,,
Rebecca Morse,,0,0,0,,,,
Shannon Turner,,0,0,0,,,,
Taylor Girard,,1,1,1,,,,
Taylor Marchin,,1,0,0,,,,
Tori Howran,,0,0,2,,,,
Allie Olnowich,,0,0,0,,,,
Brooke Avery,,0,0,0,,,,
Colleen Murphy,,0,0,0,,,,
Emily Janiga,,2,1,0,,,,
Haley Frade,,1,0,0,,,,
Kelly Babstock,,1,0,1,,,,
Kendall Cornine,,1,1,0,,,,
Kristen Barbara,,0,0,2,,,,
Leila Kilduff,,0,0,0,,,,
Lenka Čurmová,,0,0,0,,,,
Madison Packer,,2,1,0,,,,
Mallory Rushton,,0,0,0,,,,
Nora MacLaine,,1,0,0,,,,
Rachael Ade,,0,0,1,,,,
Rebecca Russo,,1,4,0,,,,
Romana Košecká,,0,0,0,,,,
Rose Alleva,,0,2,1,,,,
Theresa Knutson,,0,0,1,,,,
Alex Woken,,0,0,0,,,,
Allie Thunstrom,,2,1,0,,,,
Ashleigh Brykaliuk,,0,1,0,,,,
Audra Morrison,,0,0,0,,,,
Brooke White-Lancette,,0,0,0,,,,
Chelsey Brodt-Rosenthal,,0,0,0,,,,
Emma Stauber,,0,0,0,,,,
Haley Mack,,0,0,0,,,,
Haylea Schmid,,0,0,0,,,,
Jonna Curtis,,1,0,0,,,,
Lexie Laing,,1,0,0,,,,
Lisa Martinson,,0,0,0,,,,
Maddie Rowe,,0,0,0,,,,
Mak Langei,,0,0,0,,,,
Meaghan Pezon,,0,0,0,,,,
Meghan Lorence,,0,0,0,,,,
Nicole Schammel,,0,0,0,,,,
Patti Marshall,,0,0,0,,,,
Sara Bustad,,0,0,0,,,,
Stephanie Anderson,,0,1,0,,,,
Taylor Turnquist,,0,0,2,,,,
Winny Brodt-Brown,,0,0,0,,,,
Amy Curlew,,0,0,0,,,,
Annie MacDonald,,0,0,0,,,,
Brooke Boquist,,0,0,0,,,,
Christine Chao,,0,0,0,,,,
Emma Greco,,0,0,0,,,,
Emma Woods,,0,0,1,,,,
Leah Marino,,1,0,0,,,,
Lindsay Eastwood,,1,0,0,,,,
Maegan Beres,,0,0,0,,,,
Michela Cava,,1,0,0,,,,
Mikyla Grant-Mentis,,0,2,1,,,,
Sarah Steele,,0,0,0,,,,
Saroya Tinker,,0,0,0,,,,
Shiann Darkangelo,,1,0,0,,,,
Stephanie Sucharda,,0,0,0,,,,
Taylor Davison,,0,0,1,,,,
Taylor Day,,0,1,0,,,,
Taylor Woods,,0,1,0,,,,
Tori Charron,,0,0,0,,,,